"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"shrimp","frozen vegetables","milk","nonfat milk","eggs","green beans","french fries","frozen smoothie","mushroom cream sauce","pancakes","light mayo","melons","tomato juice","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"cake","gums","green tea","chocolate","champagne","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","eggs","low fat yogurt","","","","","","","","","","","","","","","",""
"frozen smoothie","pancakes","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"mineral water","eggs","protein bar","","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"mineral water","butter","pancakes","low fat yogurt","","","","","","","","","","","","","","","",""
"frozen vegetables","eggs","barbecue sauce","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","tomatoes","mineral water","meatballs","","","","","","","","","","","","","","",""
"butter","flax seed","green tea","magazines","","","","","","","","","","","","","","","",""
"turkey","french fries","low fat yogurt","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"pepper","vegetables mix","","","","","","","","","","","","","","","","","",""
"grated cheese","chocolate","champagne","","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","eggs","gums","escalope","low fat yogurt","","","","","","","","","","","","","",""
"shrimp","flax seed","light cream","","","","","","","","","","","","","","","","",""
"turkey","burgers","eggs","french fries","shallot","energy drink","green tea","","","","","","","","","","","","",""
"grated cheese","mineral water","eggs","protein bar","tomato juice","fresh bread","","","","","","","","","","","","","",""
"chocolate","french fries","","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"tomatoes","flax seed","chicken","green tea","chocolate","cottage cheese","","","","","","","","","","","","","",""
"burgers","mushroom cream sauce","low fat yogurt","","","","","","","","","","","","","","","","",""
"turkey","spaghetti","mineral water","green tea","tomato juice","","","","","","","","","","","","","","",""
"spaghetti","mineral water","milk","pancakes","chocolate","french fries","","","","","","","","","","","","","",""
"avocado","milk","","","","","","","","","","","","","","","","","",""
"ground beef","cooking oil","toothpaste","","","","","","","","","","","","","","","","",""
"mineral water","eggs","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"cookies","energy drink","","","","","","","","","","","","","","","","","",""
"red wine","mineral water","champagne","mushroom cream sauce","","","","","","","","","","","","","","","",""
"pickles","tomatoes","milk","pancakes","","","","","","","","","","","","","","","",""
"grated cheese","","","","","","","","","","","","","","","","","","",""
"turkey","burgers","pancakes","french fries","strawberries","green tea","","","","","","","","","","","","","",""
"grated cheese","ground beef","chocolate","french fries","","","","","","","","","","","","","","","",""
"frozen vegetables","parmesan cheese","spaghetti","mineral water","whole wheat rice","cake","frozen smoothie","cottage cheese","mint","","","","","","","","","","",""
"turkey","burgers","frozen vegetables","mineral water","milk","cake","chicken","chocolate","french fries","frozen smoothie","","","","","","","","","",""
"soup","milk","cider","chicken","green beans","","","","","","","","","","","","","","",""
"mineral water","salmon","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","chocolate","","","","","","","","","","","","","","","","",""
"cake","cookies","pancakes","low fat yogurt","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"chili","green beans","pancakes","","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"burgers","french fries","shallot","green tea","","","","","","","","","","","","","","","",""
"tomato sauce","mineral water","","","","","","","","","","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"pancakes","energy drink","light mayo","fresh bread","zucchini","","","","","","","","","","","","","","",""
"turkey","ground beef","low fat yogurt","","","","","","","","","","","","","","","","",""
"frozen vegetables","olive oil","tomato juice","","","","","","","","","","","","","","","","",""
"red wine","shrimp","mineral water","chocolate","milk","cereals","tomato juice","green tea","","","","","","","","","","","",""
"herb & pepper","whole wheat pasta","spaghetti","honey","green tea","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"burgers","ground beef","spaghetti","eggs","french fries","","","","","","","","","","","","","","",""
"french fries","cottage cheese","","","","","","","","","","","","","","","","","",""
"tomatoes","burger sauce","chocolate","green tea","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"red wine","mineral water","milk","bug spray","green beans","french fries","magazines","","","","","","","","","","","","",""
"fresh tuna","shrimp","meatballs","milk","chicken","eggs","clothes accessories","salad","fresh bread","mint","","","","","","","","","",""
"fresh tuna","frozen vegetables","parmesan cheese","pepper","spaghetti","milk","olive oil","black tea","almonds","salmon","honey","cake","gums","oil","cereals","chocolate","frozen smoothie","protein bar","mayonnaise",""
"mineral water","honey","hot dogs","","","","","","","","","","","","","","","","",""
"white wine","","","","","","","","","","","","","","","","","","",""
"ground beef","mineral water","","","","","","","","","","","","","","","","","",""
"cake","french fries","","","","","","","","","","","","","","","","","",""
"burgers","shrimp","milk","pancakes","eggs","ham","french fries","","","","","","","","","","","","",""
"tomatoes","butter","chutney","green tea","","","","","","","","","","","","","","","",""
"whole wheat pasta","spaghetti","milk","butter","eggs","chocolate","french fries","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"turkey","frozen vegetables","mineral water","","","","","","","","","","","","","","","","",""
"frozen vegetables","chocolate","eggs","eggplant","clothes accessories","green tea","","","","","","","","","","","","","",""
"shrimp","tomatoes","spaghetti","mineral water","soup","nonfat milk","pancakes","oatmeal","white wine","","","","","","","","","","",""
"mineral water","escalope","mashed potato","","","","","","","","","","","","","","","","",""
"turkey","herb & pepper","frozen vegetables","tomatoes","chocolate","milk","clothes accessories","cottage cheese","low fat yogurt","","","","","","","","","","",""
"tomatoes","","","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","pepper","spaghetti","green tea","","","","","","","","","","","","","","",""
"chocolate","red wine","tomato sauce","avocado","energy bar","oil","french fries","salt","","","","","","","","","","","",""
"vegetables mix","","","","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","mineral water","flax seed","chicken","pancakes","frozen smoothie","","","","","","","","","","","","",""
"champagne","hot dogs","","","","","","","","","","","","","","","","","",""
"gums","","","","","","","","","","","","","","","","","","",""
"ham","ground beef","spaghetti","olive oil","vegetables mix","muffins","","","","","","","","","","","","","",""
"turkey","frozen vegetables","chicken","eggs","frozen smoothie","cauliflower","low fat yogurt","","","","","","","","","","","","",""
"white wine","","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"herb & pepper","champagne","","","","","","","","","","","","","","","","","",""
"fresh tuna","whole wheat pasta","pepper","mineral water","meatballs","milk","olive oil","chicken","bacon","cake","gums","pancakes","yogurt cake","tomato juice","magazines","","","","",""
"energy bar","salmon","green tea","french fries","frozen smoothie","magazines","","","","","","","","","","","","","",""
"burgers","milk","cereals","","","","","","","","","","","","","","","","",""
"olive oil","cake","eggplant","french fries","brownies","salt","fresh bread","","","","","","","","","","","","",""
"mineral water","olive oil","chicken","french fries","","","","","","","","","","","","","","","",""
"chocolate","french fries","","","","","","","","","","","","","","","","","",""
"ground beef","pepper","mineral water","soup","milk","olive oil","black tea","chicken","chutney","nonfat milk","eggs","brownies","","","","","","","",""
